"sec"	"mA"	"mV"
326.156    -0.000121661330922507    -150.18196105957
327.156    -0.000202664770768024    -150.144439697266
328.156    -0.000121661330922507    -150.144439697266
329.147    4.03455378545914E-5    -150.144439697266
330.145    -0.000121661330922507    -150.18196105957
331.147    4.03455378545914E-5    -150.219482421875
332.14    -0.000202664770768024    -150.144439697266
333.14    -0.000202664770768024    -150.18196105957
334.141    -0.000284706708043814    -150.18196105957
335.141    -0.000365710147889331    -150.144439697266
336.131    -0.000202664770768024    -150.144439697266
337.135    -0.000284706708043814    -150.219482421875
338.125    -0.000365710147889331    -150.18196105957
339.125    -0.000365710147889331    -150.18196105957
340.118    -0.000527716998476535    -150.219482421875
341.122    -0.000446713587734848    -150.18196105957
342.12    -0.000446713587734848    -150.219482421875
343.111    -0.000770727347116917    -150.144439697266
344.109    -0.000446713587734848    -150.219482421875
345.11    -0.00068972387816757    -150.18196105957
346.103    -0.000446713587734848    -150.144439697266
347.107    -0.000608720467425883    -150.144439697266
348.105    -0.000851730757858604    -150.18196105957
349.096    -0.000770727347116917    -150.18196105957
350.094    -0.000770727347116917    -150.106918334961
351.094    -0.000608720467425883    -150.18196105957
352.088    -0.00068972387816757    -150.144439697266
353.089    -0.000851730757858604    -150.144439697266
354.092    -0.000608720467425883    -150.144439697266
355.084    -0.000770727347116917    -150.144439697266
356.079    -0.000608720467425883    -150.219482421875
357.079    -0.000527716998476535    -150.219482421875
358.072    -0.000527716998476535    -150.18196105957
359.088    -0.00068972387816757    -150.144439697266
360.071    -0.000770727347116917    -150.144439697266
361.063    -0.000527716998476535    -150.18196105957
362.062    -0.000851730757858604    -150.219482421875
363.062    -0.000770727347116917    -150.18196105957
364.06    -0.000608720467425883    -150.144439697266
365.058    -0.000608720467425883    -150.106918334961
366.06    -0.000608720467425883    -150.18196105957
367.048    -0.000608720467425883    -150.144439697266
368.047    -0.000770727347116917    -150.18196105957
369.047    -0.00068972387816757    -150.219482421875
370.045    -0.000851730757858604    -150.144439697266
371.043    -0.000608720467425883    -150.144439697266
372.041    -0.000770727347116917    -150.106918334961
373.033    -0.000770727347116917    -150.18196105957
374.031    -0.00068972387816757    -150.18196105957
375.032    -0.000527716998476535    -150.144439697266
376.029    -0.000851730757858604    -150.144439697266
377.027    -0.000608720467425883    -150.18196105957
378.025    -0.000851730757858604    -150.219482421875
379.016    -0.000770727347116917    -150.219482421875
380.016    -0.000608720467425883    -150.144439697266
381.016    -0.000608720467425883    -150.219482421875
382.009    -0.000770727347116917    -150.144439697266
383.014    -0.000608720467425883    -150.144439697266
384.003    -0.000608720467425883    -150.18196105957
385.002    -0.00101477617863566    -150.144439697266
386.001    -0.00068972387816757    -150.144439697266
387.001    -0.000608720467425883    -150.219482421875
387.993    -0.000770727347116917    -150.219482421875
388.99    -0.000770727347116917    -150.144439697266
389.988    -0.00068972387816757    -150.18196105957
390.987    -0.00068972387816757    -150.18196105957
391.985    -0.000770727347116917    -150.144439697266
392.985    -0.000608720467425883    -150.144439697266
393.978    -0.00068972387816757    -150.18196105957
394.974    -0.00068972387816757    -150.106918334961
395.981    -0.000608720467425883    -150.219482421875
396.969    -0.000770727347116917    -150.18196105957
397.97    -0.00068972387816757    -150.144439697266
398.97    -0.000608720467425883    -150.144439697266
399.961    -0.000770727347116917    -150.18196105957
